# wavelength (nm);intensity
571.0302124;269
571.4518433;252
571.8735352;238
572.295166;237
572.7167969;233
573.1384888;227
573.5599976;222
573.9816284;223
574.4031982;219
574.8247681;218
575.2462769;211
575.6678467;220
576.0894165;227
576.5108643;233
576.932373;239
577.3538818;251
577.7752686;265
578.1967773;284
578.6181641;288
579.0396118;311
579.4610596;330
579.8823242;372
580.3037109;424
580.7250977;487
581.1464233;642
581.567749;900
581.9890747;1410
582.4103394;2004
582.831604;2400
583.2529297;2640
583.6741333;3086
584.0953369;3931
584.5166626;4552
584.9378052;4459
585.3590088;4436
585.7801514;4163
586.201355;4478
586.6224365;5182
587.0436401;5873
587.4647217;6427
587.8858032;7052
588.3068848;7579
588.7279663;7662
589.1489868;6964
589.5700073;6025
589.9910889;5382
590.4119873;4813
590.8330688;4140
591.2540283;3768
591.6749268;3490
592.0958862;3477
592.5168457;3424
592.9377441;3136
593.3585815;2761
593.779541;2368
594.2003784;2054
594.6211548;1764
595.0420532;1531
595.4628296;1402
595.883667;1346
596.3044434;1331
596.7252197;1424
597.1459351;1609
597.5666504;1852
597.9873657;2058
598.40802;1987
598.8287964;1721
599.2493896;1449
599.6700439;1259
600.0907593;1035
600.5113525;876
600.9319458;723
601.3525391;622
601.7730713;543
602.1936035;503
602.6142578;468
603.034729;438
603.4552002;396
603.8757324;378
604.2962036;358
604.7166138;334
605.137146;321
605.5574951;301
605.9778442;285
606.3983154;278
606.8186646;262
607.2390137;248
607.6593628;241
608.0797119;241
608.5;230
608.9202881;231
609.3405762;226
609.7608032;221
610.1810913;230
610.6013184;230
611.0214844;231
611.4416504;215
611.8618164;224
612.2819824;216
612.7022095;228
613.1223145;225
613.5423584;233
613.9625244;233
614.3825684;236
614.8025513;244
615.2225952;253
615.6427002;243
616.0626831;259
616.482666;274
616.90271;297
617.3225708;309
617.7424927;359
618.1624756;418
618.5822754;523
619.0022583;740
619.4221191;991
619.8418579;1234
620.2617188;1648
620.6816406;2129
621.1013794;2469
621.5211182;2405
621.940979;2176
622.3606567;2319
622.7803955;2825
623.2001343;3727
623.619812;4724
624.0394287;5477
624.4591675;5755
624.8787842;5722
625.2984009;5759
625.7180786;5317
626.1375732;4497
626.5571289;3543
626.9767456;2843
627.3962402;2352
627.8157349;1972
628.2352905;1665
628.6547241;1405
629.0742188;1141
629.4937134;903
629.9130249;729
630.3324585;611
630.7518921;553
631.1712646;500
631.5905762;484
632.0099487;456
632.4292603;425
632.8485107;415
633.2678223;405
633.6871338;393
634.1063843;386
634.5256348;375
634.9448242;382
635.3639526;358
635.7832031;359
636.2023315;354
636.62146;350
637.0405884;331
637.4597168;316
637.8787231;306
638.2978516;297
638.7168579;279
639.1358643;267
639.5549316;252
639.973877;243
640.3928833;215
640.8118896;207
641.2307739;195
641.6497192;199
642.0686035;178
642.4875488;169
642.906311;170
643.3251953;157
643.7440796;164
644.1627808;154
644.581665;158
645.0004272;159
645.4190674;164
645.8378296;176
646.2565918;198
646.6752319;235
647.0939331;254
647.5126343;281
647.9312134;302
648.3498535;319
648.7684937;314
649.1870728;322
649.6055908;332
650.0241699;301
650.442688;292
650.861145;271
651.2797241;246
651.6981812;253
652.1165771;240
652.5350342;274
652.9534302;278
653.3718262;306
653.7901611;311
654.2085571;314
654.6268311;324
655.0452271;327
655.463501;310
655.8817139;304
656.3000488;298
656.7182007;261
657.1364136;257
657.5546875;224
657.9728394;200
658.3909912;192
658.8091431;179
659.2272339;169
659.6453247;161
660.0634766;154
660.4814453;146
660.8994751;141
661.3175659;140
661.7355957;134
662.1535645;141
662.5714722;137
662.9894409;139
663.4073486;145
663.8252563;144
664.243103;149
664.6609497;153
665.0788574;174
665.4966431;186
665.9144287;198
666.3323364;208
666.750061;238
667.1677856;253
667.5855103;259
668.0031738;303
668.4208374;317
668.838562;341
669.2561646;380
669.6737671;406
670.0914307;455
670.5090332;467
670.9265137;507
671.3441162;526
671.7616577;543
672.1791382;573
672.5966187;573
673.0141602;551
673.4314575;529
673.848999;484
674.2663574;443
674.6837158;408
675.1011353;357
675.5184326;323
675.93573;282
676.3530884;258
676.7703857;241
677.1876221;206
677.6048584;195
678.0220947;180
678.43927;160
678.8564453;147
679.2736206;151
679.6906738;153
680.1077881;157
680.5249634;169
680.9420166;207
681.3590088;282
681.776062;394
682.1931152;555
682.6101074;714
683.0270996;761
